id,name,position,year,Adjusted Estimate,Std. Error,z value,Pr(>|z|),Year,School Name,Image Token,School Token,Rating
31,Mateo Di Blasi,Skipper,25,2.944558324653033,0.13532368904035,-1.77823688675702,0.0753649570658747,2025,Georgetown University,GTN-40.png,georgetown,5483.145582185017
32,Ryan Satterberg,Skipper,27,2.936884920073328,0.130731534434785,-1.89939620273608,0.0575124023945328,2027,Dartmouth College,DART-40.png,dartmouth,5481.575236842301
33,Morgan Pinckney,Skipper,27,2.9328679835142744,0.129778181233764,-1.94430153238039,0.0518590999813361,2027,Yale University,YAL-40.png,yale,5476.401423327256
34,Benjamin Dufour,Skipper,26,2.900978937496485,0.115251110494338,-2.46606702044834,0.0136605771624912,2026,College of Charleston,COC-40.png,charleston,5456.204543509956
35,Enzo Menditto,Skipper,26,2.905501548811964,0.141394095369359,-1.97811903399516,0.0479152797871061,2026,Georgetown University,GTN-40.png,georgetown,5386.82081151585
36,Diego Escobar,Skipper,25,2.885392282841288,0.131865731707483,-2.27355214606009,0.0229929274626076,2025,Georgetown University,GTN-40.png,georgetown,5375.187370560127
37,Sam Bonauto,Skipper,25,2.8421484101072583,0.105541070122031,-3.25036963954141,0.0011525509526842,2025,Bowdoin College,BOW-40.png,bowdoin,5367.673609848423
38,Jack Redmond,Skipper,26,2.8589971616158523,0.123705618249183,-2.63689509949095,0.008366870096986,2026,Boston College,BC-40.png,boston-college,5346.8774684841555
39,Oliver Stokke,Skipper,26,2.832376451231026,0.111884374799195,-3.15342915003832,0.0016136439308671,2026,Roger Williams University,RW-40.png,roger-williams,5329.099778064467
40,Lucas Woodworth,Skipper,27,2.93514677221088,0.18428021551375,-1.35689622051198,0.174814187929953,2027,Stanford University,STAN-40.png,stanford,5317.45289788051
41,Piper Holthus,Skipper,25,2.7984971146992503,0.103886831208525,-3.72230802459626,0.0001974099914019,2025,Georgetown University,GTN-40.png,georgetown,5285.333735772925
42,Chapman Petersen,Skipper,26,2.961910838795212,0.221725223575721,-1.0070350037787,0.313917953282056,2026,Stanford University,STAN-40.png,stanford,5258.6460068632605
43,Blake Behrens,Skipper,27,2.807077937446665,0.130873997199883,-2.88917562541059,0.0038625328147395,2027,Brown University,BR-40.png,brown,5221.53388329368
44,Caroline Sibilly,Skipper,26,2.728160560699945,0.11218527334135,-4.07393346599103,4.62256926156469e-05,2026,Boston College,BC-40.png,boston-college,5119.76530137584
45,Rayne Duff,Skipper,25,2.720335295961494,0.11265771421468,-4.12630956908365,3.68630979288283e-05,2025,Webb Institute,WEB-40.png,webb-institute,5102.697449278948
46,Peter Barnard,Skipper,27,2.8663186874739903,0.215144674455261,-1.48215247944211,0.138299727618793,2027,Georgetown University,GTN-40.png,georgetown,5087.203351582198
47,Sophie Fisher,Skipper,26,2.762692661396039,0.146837621241142,-2.87735006321528,0.0040103043942666,2026,Stanford University,STAN-40.png,stanford,5084.8724590686525
48,Kelly Holthus,Skipper,27,2.76988393037616,0.166142184901466,-2.49973822137207,0.0124285107239595,2027,Tulane University,TUL-40.png,tulane,5041.341306047922
49,Mason Stang,Skipper,25,2.679025896807155,0.110267333277866,-4.59038944991943,4.42419736222166e-06,2025,Brown University,BR-40.png,brown,5027.249793780712
50,Cordelia Burn,Skipper,25,2.6490542255727263,0.102370184056992,-5.23728348759644,1.62957292389981e-07,2025,Harvard University,HAR-40.png,harvard,4990.997898974477
51,Owen Bannasch,Skipper,26,2.674141554198945,0.12260213108691,-4.16839692285121,3.0674942402664e-05,2026,Jacksonville University,JAX-40.png,jacksonville,4980.47671513716
52,Mathieu Dale,Skipper,25,2.648633342791774,0.114438331414726,-4.68866113942481,2.74998324749978e-06,2025,Roger Williams University,RW-40.png,roger-williams,4953.95169133937
53,Dorothy Mendelblatt,Skipper,28,2.730296648942747,0.174049385344375,-2.61362170463174,0.0089588169831898,2028,Yale University,YAL-40.png,yale,4938.4451418523695
54,Jackson McAliley,Skipper,27,2.668429140936552,0.137465797821404,-3.75923878819264,0.0001704311144494,2027,University of Pennsylvania,UPN-40.png,pennsylvania,4924.460888408892
55,Peter Joslin,Skipper,26,2.6241063111192684,0.124586596049598,-4.50361119758004,6.68083852237302e-06,2026,Boston College,BC-40.png,boston-college,4874.452834089743
56,Ian Hopkins Guerra,Skipper,26,2.586524474561873,0.128523717029593,-4.65806186928829,3.19200290794796e-06,2026,Boston College,BC-40.png,boston-college,4787.477798034968
57,Zoey Ziskind,Skipper,27,2.5756686421780293,0.126078826865571,-4.83449341282725,1.33485124669487e-06,2027,Harvard University,HAR-40.png,harvard,4773.100803759346
58,Ellie Harned,Skipper,26,2.66515046590009,0.185850896455289,-2.79818631050639,0.0051390460167543,2026,Stanford University,STAN-40.png,stanford,4772.748242434313
59,Chase Decker,Skipper,28,2.679511692324847,0.198165192644365,-2.5518316364433,0.010715828728437,2028,Dartmouth College,DART-40.png,dartmouth,4764.527806716599
60,Zander King,Skipper,25,2.633062908399445,0.175962728429132,-3.13778376072148,0.0017023041160484,2025,Tulane University,TUL-40.png,tulane,4738.237631511494
61,Axel Stordahl,Skipper,24,2.63650956725035,0.179754025553624,-3.0524286241511,0.0022699770866738,2024,College of Charleston,COC-40.png,charleston,4733.757057839828
62,Sarah Young,Skipper,25,2.510481686720304,0.111675480292426,-6.04173997433953,1.52461033738705e-09,2025,Dartmouth College,DART-40.png,dartmouth,4685.93693256333
63,Emma Tallman,Skipper,25,2.507325408920336,0.11207827409935,-6.04818816745336,1.46483813541092e-09,2025,College of Charleston,COC-40.png,charleston,4678.415995542622
64,Charlie Anderson,Skipper,25,2.540264571906831,0.136430718195708,-4.72717095371913,2.27669579201245e-06,2025,St. Mary's College of Maryland,SMC-40.png,st-mary,4671.236989226538
65,Samantha Gardner,Skipper,27,2.545601079396416,0.142285070580551,-4.49516465888185,6.95161326941117e-06,2027,Tulane University,TUL-40.png,tulane,4664.346947051179
66,John Eastman,Skipper,25,2.4989144257407574,0.115550367828276,-5.93924093288715,2.86344782521674e-09,2025,Tufts University,TUF-40.png,tufts,4651.177747996687
67,Sofia Segalla,Skipper,25,2.48910549427036,0.110593279877257,-6.29414740804163,3.09093994931568e-10,2025,University of Pennsylvania,UPN-40.png,pennsylvania,4646.431148908949
68,Pierce Brindley,Skipper,28,2.94210744572376,0.415432971542449,-0.585144827408146,0.558450339132589,2028,Old Dominion University,ODU-40.png,old-dominion,4637.9159768201735
69,Tyler Wood,Skipper,26,2.487961792297327,0.113256183170178,-6.15625644748803,7.44845776443834e-10,2026,George Washington University,GWU-40.png,george-washington,4636.15503508412
70,Charles Gish,Skipper,28,2.8037810095814333,0.324709161732671,-1.17463544465432,0.240140596428681,2028,Brown University,BR-40.png,brown,4633.4345339648535
71,Jacob Zils,Skipper,27,2.507305046820129,0.128498633055828,-5.27547131993202,1.3241531995391e-07,2027,Fordham University,FRD-40.png,fordham,4629.114194472773
72,Tyler Lamm,Skipper,28,2.5627526432910663,0.172298683132387,-3.61258278676045,0.0003031622720928,2028,Brown University,BR-40.png,brown,4608.609237184972
73,Leyton Borcherding,Skipper,25,2.485887016362191,0.123378202661224,-5.66800997834775,1.44465554392364e-08,2025,Brown University,BR-40.png,brown,4601.63942474071
74,Katharine Doble,Skipper,26,2.4663062007861773,0.111552552781098,-6.44440383879994,1.16055688499241e-10,2026,Brown University,BR-40.png,brown,4597.95474322906
75,Martins Atilla,Skipper,27,2.532203813278413,0.156633700794293,-4.16891182144628,3.06057359262154e-05,2027,Brown University,BR-40.png,brown,4594.506524173948
76,Harrison Strom,Skipper,28,2.502741997050993,0.159733620126303,-4.27244998620832,1.93336926157876e-05,2028,Harvard University,HAR-40.png,harvard,4526.283133723077
77,bella casaretto,Skipper,26,2.439436295641144,0.118693760658081,-6.28305650087013,3.31980338167879e-10,2026,Dartmouth College,DART-40.png,dartmouth,4522.791309308045
78,Cam Spriggs,Skipper,27,2.507199217093845,0.16780738568905,-4.04032683233094,5.33767645923383e-05,2027,Brown University,BR-40.png,brown,4510.9762771205405
79,Matt Budington,Skipper,25,2.5866399653770142,0.243307563798804,-2.46007943786969,0.0138906266349325,2025,Boston College,BC-40.png,boston-college,4443.357239357616
80,Winborne Majette,Skipper,27,2.343375690759892,0.128733110033441,-6.53926724195544,6.1820972308454e-11,2027,Cornell University,COR-40.png,cornell,4300.55205141946
81,Lucy Meagher,Skipper,27,2.314665576750799,0.117754346757076,-7.39276593501643,1.43805496954217e-13,2027,Roger Williams University,RW-40.png,roger-williams,4276.068113230369
82,Jeffrey Petersen,Skipper,25,2.460735660146999,0.216806430078826,-3.3415071672285,0.0008332486520424,2025,Georgetown University,GTN-40.png,georgetown,4271.052030057521
83,Sophia Devling,Skipper,26,2.2836191601429983,0.11296896595747,-7.9807470341283,1.45450285114851e-15,2026,Cornell University,COR-40.png,cornell,4228.331422413587
84,Eric Anderson,Skipper,26,2.3597939742777583,0.167535969667244,-4.92671470800123,8.36237139414409e-07,2026,University of Hawaii,UH-40.png,hawaii,4216.980039553785
85,Declan Botwinick,Skipper,25,2.2887258251146863,0.123737267107874,-7.24494807421592,4.32604912632898e-13,2025,University of Rhode Island,URI-40.png,rhode-island,4206.2398489057505
86,Emily Allen,Skipper,25,2.2576613968390102,0.104720998610124,-8.85719689105348,8.2051538045976e-19,2025,Jacksonville University,JAX-40.png,jacksonville,4201.159797847648
87,Noah Robitshek,Skipper,25,2.236958687462395,0.103604343360767,-9.15248513657686,5.5638602214263e-20,2025,Boston University,BU-40.png,boston-university,4163.104344842489
88,Calvin Schmid,Skipper,26,2.309390881058729,0.156422419783008,-5.59897372967905,2.1562446648994e-08,2026,Webb Institute,WEB-40.png,webb-institute,4149.514502768434
89,Katherine McNamara,Skipper,26,2.240608572359238,0.119204405963074,-7.92409743722046,2.2980937495448903e-15,2026,Brown University,BR-40.png,brown,4123.603926829254
90,Tyler Nash,Skipper,26,2.219280825210511,0.116073828390043,-8.32155782525194,8.68146458400882e-17,2026,University of Rhode Island,URI-40.png,rhode-island,4090.340165250893
91,James Brock,Skipper,28,2.421483254471293,0.256927253825338,-2.97248592476884,0.0029539875410935,2028,Brown University,BR-40.png,brown,4072.1847474665724
92,Diogo Silva,Skipper,26,2.205622018101309,0.116344629180035,-8.41958832959523,3.77809519389393e-17,2026,Old Dominion University,ODU-40.png,old-dominion,4062.2101486625124
93,Drew Mastovsky,Skipper,26,2.2167938908746643,0.125034511116757,-7.74507774399713,9.552338178655031e-15,2026,Roger Williams University,RW-40.png,roger-williams,4058.4842483990574
94,Jack Roman,Skipper,26,2.204132114524202,0.11876657883642,-8.26043652384444,1.45140689845837e-16,2026,Roger Williams University,RW-40.png,roger-williams,4051.9644925391444
95,Matthew King,Skipper,24,2.196298281523883,0.123915800104342,-7.98039973756407,1.45860140159599e-15,2024,Jacksonville University,JAX-40.png,jacksonville,4020.84916273474
96,Shea Smith,Skipper,25,2.16507655984243,0.111047424004767,-9.18633952526799,4.06436782854049e-20,2025,Tufts University,TUF-40.png,tufts,3997.010847670559
97,Cole Schweda,Skipper,27,2.249172008904768,0.180564891310774,-5.18386428533797,2.17335106432297e-07,2027,Jacksonville University,JAX-40.png,jacksonville,3956.649343877214
98,Alex Lech,Skipper,28,2.2603124961804983,0.192835037892159,-4.79624146154057,1.61670385219147e-06,2028,Boston College,BC-40.png,boston-college,3942.11987868452
99,Emily Mueller,Skipper,25,2.1262770134401903,0.117124510889228,-9.04096741729759,1.55291318008963e-19,2025,Brown University,BR-40.png,brown,3901.1804942126964
100,Jack Flores,Skipper,25,2.12514964402698,0.116482981128182,-9.1004389298994,8.99674912703489e-20,2025,Tufts University,TUF-40.png,tufts,3900.8503446694144
101,Matheo Graham-capasso,Skipper,26,2.318547212254344,0.247669693401935,-3.49921169602217,0.0004666359362231,2026,Tulane University,TUL-40.png,tulane,3894.0853443028836
102,Laura Hamilton,Skipper,27,2.1193787890716704,0.123512813633435,-8.62920275015449,6.17810908544816e-18,2027,Brown University,BR-40.png,brown,3868.2191372430357
103,John Wood,Skipper,26,2.3275462887180822,0.266118739993913,-3.22280802719175,0.0012694059845289,2026,Tulane University,TUL-40.png,tulane,3856.736357454425
104,Clark Morris,Skipper,26,2.11587741763696,0.130752809828143,-8.17816828506504,2.88191100498903e-16,2026,Tufts University,TUF-40.png,tufts,3839.4964057894904
105,Alex Adams,Skipper,26,2.09971837890608,0.121525928527131,-8.93206523419575,4.18128806501297e-19,2026,Yale University,YAL-40.png,yale,3834.858972230767
106,Jonathan Weed,Skipper,26,2.234043278532326,0.213440829311955,-4.45628244928777,8.33931448095095e-06,2026,College of Charleston,COC-40.png,charleston,3827.764069128787
107,Michelangelo Vecchio,Skipper,27,2.12921268206935,0.155226056567809,-6.80287344429172,1.0255273465290699e-11,2027,Bowdoin College,BOW-40.png,bowdoin,3792.7471944352733
108,Devon Owen,Skipper,27,2.187024301282589,0.195187930388338,-5.11390021344101,3.1557410768991e-07,2027,Tufts University,TUF-40.png,tufts,3788.4848114001643
109,Sara Schumann,Skipper,25,2.09396416982226,0.136967851176589,-7.96706468678888,1.6248762184401001e-15,2025,Boston College,BC-40.png,boston-college,3777.0247861147527
110,Gus Macaulay,Skipper,27,2.12705626592088,0.165887222732569,-6.37866869313733,1.78634005684856e-10,2027,Tufts University,TUF-40.png,tufts,3756.450863644053
111,Charles Mckenzie,Skipper,25,2.231451208585755,0.236490951339171,-4.03290141195729,5.50923966784765e-05,2025,College of Charleston,COC-40.png,charleston,3753.429563153997
112,Kay Brunsvold,Skipper,25,2.0685067849092,0.128199751995951,-8.71054037048912,3.0242958939855898e-18,2025,University of South Florida,USF-40.png,south-florida,3752.414313830547
113,Connor Bennett,Skipper,26,2.13057973591675,0.169939302888023,-6.2058402401167,5.44054263749389e-10,2026,Fordham University,FRD-40.png,fordham,3751.341563169431
114,Nick Budington,Skipper,25,2.0957111007133,0.146971667102579,-7.41288998704027,1.23576395304346e-13,2025,Boston College,BC-40.png,boston-college,3750.507200118863
115,Audrey Foley,Skipper,28,2.13381280009572,0.172656636883406,-6.08944503402377,1.13302756190002e-09,2028,Yale University,YAL-40.png,yale,3749.6556895412227
116,Ximena Escobar,Skipper,25,2.14579884577332,0.183383921296058,-5.66787451722817,1.44579783291082e-08,2025,Yale University,YAL-40.png,yale,3741.4459276584657
117,Mathias Reimer,Skipper,27,2.06982222899115,0.134060464983667,-8.31992990104397,8.80153510631231e-17,2027,Yale University,YAL-40.png,yale,3737.463063031299
118,Eva Ermlich,Skipper,26,2.00619104643548,0.101783907393859,-11.5834112082071,5.0015406704501605e-31,2026,Northeastern University,NU-40.png,northeastern,3707.0303706893833
119,Everett Botwinick,Skipper,26,2.03458018008336,0.126984430244011,-9.06107715616992,1.2916859765101501e-19,2026,Webb Institute,WEB-40.png,webb-institute,3688.2070694346867
120,Ryan McGauley,Skipper,27,2.15985848313045,0.21261185253852,-4.82257882043713,1.41714001088147e-06,2027,Boston College,BC-40.png,boston-college,3681.8814086453403
121,Harrison Thomson,Skipper,26,2.3508131038107343,0.341245068879949,-2.44511312378677,0.0144806714086346,2026,College of Charleston,COC-40.png,charleston,3677.891000981622
122,Braden Vogel,Skipper,27,2.08594096469466,0.165370310861957,-6.64723268482912,2.98654705695013e-11,2027,University of Michigan,MICH-40.png,michigan,3675.770996803449
123,Ryan Ehnot,Skipper,26,2.3226016500104194,0.324335937382384,-2.65957037356987,0.0078240382962767,2026,Tulane University,TUL-40.png,tulane,3672.1954878736865
124,Eden Nykamp,Skipper,25,2.00245158565441,0.115883759040603,-10.2062991768139,1.85817473877362e-24,2025,University of South Florida,USF-40.png,south-florida,3657.251894187011
125,Nathan Jensen,Skipper,27,2.10327543756343,0.184064649172032,-5.87793727616867,4.15410253705627e-09,2027,St. Mary's College of Maryland,SMC-40.png,st-mary,3654.3569276107637
126,Cole Woodworth,Skipper,26,2.04568132534202,0.146721224324952,-7.76652853094279,8.06664158312258e-15,2026,University of Pennsylvania,UPN-40.png,pennsylvania,3651.198977709184
127,Jonnie Ciffolillo,Skipper,27,2.16145477231282,0.233940421019234,-4.37607628208737,1.20834741289531e-05,2027,College of Charleston,COC-40.png,charleston,3621.088281567938
128,Patrick Igoe,Skipper,26,2.00969620216169,0.133464206465292,-8.80760264588708,1.27850715933106e-18,2026,Jacksonville University,JAX-40.png,jacksonville,3618.999784927504
129,Emma Shakespeare,Skipper,24,1.96876391378037,0.110840003072143,-10.9746657583951,5.0592613638445195e-28,2024,University of South Florida,USF-40.png,south-florida,3605.007818344311
130,Tiare Sierra,Skipper,25,1.94795532825311,0.0986462795359627,-12.5421919379378,4.3869111068287695e-36,2025,Boston University,BU-40.png,boston-university,3599.9718178983317
131,Luke Harris,Skipper,27,2.02435868716033,0.152810333575088,-7.59658843638267,3.04039545985398e-14,2027,University of Southern California,USC-40.png,southern-cal,3590.2863735953956
132,Kelly Bates,Skipper,26,1.99750957499756,0.135933679852614,-8.73724838794041,2.38856919351169e-18,2026,Georgetown University,GTN-40.png,georgetown,3587.218110437278
133,Wyatt Bischoff,Skipper,27,2.0204068458140503,0.154476308893525,-7.54024395511303,4.6909307731488204e-14,2027,Tufts University,TUF-40.png,tufts,3577.3847649475256
134,Peter Foley,Skipper,26,2.15461549105609,0.245289159122478,-4.20149187508911,2.65161765529053e-05,2026,Florida State University,FSU-40.png,florida-state,3573.363504744747
135,Lucy Spearman,Skipper,25,2.04559813972101,0.173518254475259,-6.56759580645793,5.1134112447093e-11,2025,Tulane University,TUL-40.png,tulane,3570.6415160162423
136,Henry Lee,Skipper,24,1.96347756278965,0.120606617371744,-10.1297786472303,4.07571026912632e-24,2024,University of Rhode Island,URI-40.png,rhode-island,3565.1352734640677
137,Landon Cormie,Skipper,27,2.02267169816725,0.173834271904161,-6.68754319418842,2.26948238595713e-11,2027,St. Mary's College of Maryland,SMC-40.png,st-mary,3523.840580622017
138,Luke Zylinski,Skipper,26,1.94546077499012,0.12389013114587,-10.0067302673755,1.42380642613195e-23,2026,U. S. Coast Guard Academy,CGA-40.png,coast-guard,3519.25115654263
139,Grace Austin,Skipper,24,2.189798266174192,0.288637094687088,-3.44861298947573,0.0005634736690597,2027,U. S. Coast Guard Academy,CGA-40.png,coast-guard,3513.6852482871204
140,Benjamin Smith,Skipper,26,2.0952523385599804,0.226848144556846,-4.80472769008482,1.54962264386889e-06,2026,Georgetown University,GTN-40.png,georgetown,3509.9602434494227
141,Emily Doble,Skipper,28,2.09416890739717,0.22796959576838,-4.78584430999277,1.70270012886066e-06,2028,Georgetown University,GTN-40.png,georgetown,3504.4290274892005
142,Jedidiah Bechtel,Skipper,26,1.93707214043306,0.131986386786557,-9.45645827657954,3.18550278307307e-21,2026,George Washington University,GWU-40.png,george-washington,3478.185120506449
143,Charlie Allen,Skipper,28,2.730709871736793,0.663209299886547,-0.685282954412091,0.493165385908428,2028,College of Charleston,COC-40.png,charleston,3471.791843813945
144,Bradley Whiteway,Skipper,26,1.9215553334585,0.124830718592543,-10.1228333934594,4.37561853940294e-24,2026,U. S. Coast Guard Academy,CGA-40.png,coast-guard,3468.618511139371
145,Tristan McDonald,Skipper,28,1.9801237630409,0.170902644005054,-7.0512199745727,1.77355853560884e-12,2028,Roger Williams University,RW-40.png,roger-williams,3447.539594066638
146,Adrian Winkelman,Skipper,25,1.87235746685667,0.10621212594168,-12.3605324877953,4.2731669749485503e-35,2025,Northeastern University,NU-40.png,northeastern,3426.0785558883
147,Adrien Bellanger,Skipper,25,1.8718494455132104,0.121623763287095,-10.7984362524882,3.5011543656008e-27,2025,Tufts University,TUF-40.png,tufts,3378.827601165136
148,Sam Monaghan,Skipper,24,1.86245245502436,0.120719750889406,-10.9571419373128,6.1408153485944995e-28,2024,Northeastern University,NU-40.png,northeastern,3362.745657380502
149,Jed Lory,Skipper,27,1.92441124252325,0.164007346660054,-7.68736695830254,1.50193893808971e-14,2027,Roger Williams University,RW-40.png,roger-williams,3356.800445066338
150,Kate Danielson,Skipper,28,2.00877456144923,0.223289708515658,-5.26858737255639,1.37477603275408e-07,2028,Harvard University,HAR-40.png,harvard,3347.6799973514862
151,Jack Derry,Skipper,25,1.84888243292192,0.117633326911924,-11.3599904237619,6.61518891798207e-30,2025,U. S. Coast Guard Academy,CGA-40.png,coast-guard,3344.864885108068
152,Ben Sheppard,Skipper,27,2.0006243746327304,0.218831789594026,-5.41316016160856,6.19220568192012e-08,2027,Dartmouth College,DART-40.png,dartmouth,3344.753380483383
153,Jordan Vieira,Skipper,28,1.9352691466592105,0.183207120175479,-6.82247912799576,8.94826343495118e-12,2028,Eckerd College,ECK-40.png,eckerd,3320.916932791984
154,Ethan Danielson,Skipper,26,1.87564975690154,0.145019329573184,-9.03014892641753,1.71438323243594e-19,2026,Bowdoin College,BOW-40.png,bowdoin,3316.2415250835284
155,Tavia Smith,Skipper,27,1.8577167055306,0.133081409648938,-9.97494088864736,1.96218255568859e-23,2027,Roger Williams University,RW-40.png,roger-williams,3316.1891821143863
156,Ava Anderson,Skipper,27,1.90477698997899,0.166950043145662,-7.66947337090821,1.72703951676381e-14,2027,Tulane University,TUL-40.png,tulane,3308.703850520994
157,Jack Solmo,Skipper,25,2.05212023811771,0.275353382003048,-4.11498727125264,3.87200781261878e-05,2025,Tulane University,TUL-40.png,tulane,3278.180330226276
158,Bella Shakespeare,Skipper,27,2.06282658619355,0.284103504225062,-3.95056483736273,7.79669721515252e-05,2027,College of Charleston,COC-40.png,charleston,3273.342659711914
159,Matthew Wallace,Skipper,25,1.85984792706947,0.1554097882126,-8.52808557511244,1.4878946149310102e-17,2025,Tufts University,TUF-40.png,tufts,3253.4664895011406
160,Hank Seum,Skipper,27,1.896463989218,0.184991487609553,-6.96643898371503,3.25063780746858e-12,2027,Jacksonville University,JAX-40.png,jacksonville,3237.953515607341
161,Lucas Thress,Skipper,26,1.8251461998454,0.138553532869522,-9.8160593392591,9.602406004135e-23,2026,Fordham University,FRD-40.png,fordham,3234.631801082234
162,Elliott Mendenhall,Skipper,25,1.7764881374388202,0.112475419140799,-12.5245833576699,5.477824933167e-36,2025,Boston University,BU-40.png,boston-university,3215.550017455243
163,Christopher Chwalk,Skipper,28,1.8852376550301104,0.189290006312493,-6.86754821583367,6.53146807650574e-12,2028,University of Rhode Island,URI-40.png,rhode-island,3202.6052911227416
164,Kytalin Hendrickson,Skipper,26,1.7543706985531802,0.107230258607455,-13.3434836415098,1.2927434773423692e-40,2026,University of Rhode Island,URI-40.png,rhode-island,3187.050621283995
165,Connor McHugh,Skipper,28,1.90528910395524,0.208439235172015,-6.1404312635533,8.22977407571534e-10,2028,Roger Williams University,RW-40.png,roger-williams,3185.260502394435
166,Lucia Loosbrock,Skipper,25,1.73704040928741,0.0969359377837777,-14.9393044930294,1.82873923591805e-50,2025,Northeastern University,NU-40.png,northeastern,3183.273005223487
